n	sig.level	sd.het	pval	pval.tval	over	over.tval
50	0.05	0.05	0.05	0.057101622890979	1	1.14203245781958
60	0.05	0.05	0.0500000000000023	0.0585677751493973	1.00000000000004	1.17135550298795
70	0.05	0.05	0.050000000000001	0.0600387886579612	1.00000000000002	1.20077577315922
80	0.05	0.05	0.0500000000000005	0.0615143017150569	1.00000000000001	1.23028603430114
90	0.05	0.05	0.0500000000000003	0.0629939534657877	1.00000000000001	1.25987906931575
100	0.05	0.05	0.0500000000000002	0.0644773898593533	1	1.28954779718707
110	0.05	0.05	0.0500000000000001	0.0659642661587286	1	1.31928532317457
120	0.05	0.05	0.0500000000000001	0.0674542480183665	1	1.34908496036733
130	0.05	0.05	0.0500000000000001	0.0689470119040352	1	1.3789402380807
140	0.05	0.05	0.0500000000000001	0.070442245186384	1	1.40884490372768
150	0.05	0.05	0.05	0.0719396460630843	1	1.43879292126169
160	0.05	0.05	0.0500000000000001	0.0734389233871252	1	1.4687784677425
170	0.05	0.05	0.05	0.0749397964424863	1	1.49879592884973
180	0.05	0.05	0.0500000000000001	0.0764419946902153	1	1.52883989380431
190	0.05	0.05	0.0500000000000001	0.0779452574983361	1	1.55890514996672
200	0.05	0.05	0.05	0.0794493338637165	1	1.58898667727433
210	0.05	0.05	0.05	0.0809539821309746	1	1.61907964261949
220	0.05	0.05	0.0500000000000001	0.0824589697116881	1	1.64917939423376
230	0.05	0.05	0.0500000000000001	0.0839640728060465	1	1.67928145612093
240	0.05	0.05	0.05	0.0854690761283821	1	1.70938152256764
250	0.05	0.05	0.05	0.0869737726375414	1	1.73947545275083
260	0.05	0.05	0.05	0.0884779632727549	1	1.7695592654551
270	0.05	0.05	0.05	0.0899814566954421	1	1.79962913390884
280	0.05	0.05	0.05	0.0914840690372433	1	1.82968138074487
290	0.05	0.05	0.05	0.0929856236544559	1	1.85971247308912
300	0.05	0.05	0.05	0.094485950888978	1	1.88971901777956
310	0.05	0.05	0.0500000000000001	0.0959848878358009	1	1.91969775671602
320	0.05	0.05	0.05	0.0974822781170477	1	1.94964556234095
330	0.05	0.05	0.05	0.0989779716625213	1	1.97955943325043
340	0.05	0.05	0.05	0.1004718244967	1	2.009436489934
350	0.05	0.05	0.0500000000000001	0.101963698532097	1	2.03927397064194
360	0.05	0.05	0.0500000000000001	0.103453461368885	1	2.06906922737769
370	0.05	0.05	0.05	0.104940986100674	1	2.09881972201348
380	0.05	0.05	0.0500000000000001	0.106426151126328	1	2.12852302252656
390	0.05	0.05	0.05	0.10790883996768	0.999999999999999	2.15817679935359
400	0.05	0.05	0.05	0.109388941093026	1	2.18777882186051
20	0.05	0.1	0.0499999999999999	0.061072721144098	0.999999999999999	1.22145442288196
30	0.05	0.1	0.05	0.0670136792390478	1	1.34027358478096
40	0.05	0.1	0.05	0.0729983517563577	0.999999999999999	1.45996703512715
50	0.05	0.1	0.05	0.0790090433318261	1	1.58018086663652
60	0.05	0.1	0.0500000000000023	0.0850296685622674	1.00000000000004	1.70059337124535
70	0.05	0.1	0.050000000000001	0.0910462006290897	1.00000000000002	1.82092401258179
80	0.05	0.1	0.0500000000000005	0.0970465724780063	1.00000000000001	1.94093144956013
90	0.05	0.1	0.0500000000000003	0.103020479895188	1.00000000000001	2.06040959790377
100	0.05	0.1	0.0500000000000002	0.10895917501287	1	2.17918350025739
110	0.05	0.1	0.0500000000000001	0.114855272817387	1	2.29710545634774
120	0.05	0.1	0.0500000000000001	0.12070257654683	1	2.41405153093659
130	0.05	0.1	0.05	0.126495922706156	1	2.52991845412312
140	0.05	0.1	0.0500000000000001	0.132231044653068	1	2.64462089306136
150	0.05	0.1	0.05	0.137904453106134	1	2.75808906212269
160	0.05	0.1	0.0500000000000001	0.143513331781702	1	2.87026663563404
170	0.05	0.1	0.05	0.149055446411387	1	2.98110892822773
180	0.05	0.1	0.05	0.154529065516584	1	3.09058131033169
190	0.05	0.1	0.0500000000000001	0.159932891470249	1	3.19865782940498
200	0.05	0.1	0.05	0.165266000535396	1	3.30532001070792
210	0.05	0.1	0.05	0.170527790722842	1	3.41055581445685
220	0.05	0.1	0.05	0.175717936452337	1	3.51435872904674
230	0.05	0.1	0.0500000000000001	0.180836349129323	1	3.61672698258647
240	0.05	0.1	0.05	0.185883142863825	1	3.7176628572765
250	0.05	0.1	0.05	0.190858604658774	1	3.81717209317547
260	0.05	0.1	0.0500000000000001	0.195763168483586	1	3.91526336967173
270	0.05	0.1	0.05	0.200597392726018	1	4.01194785452037
280	0.05	0.1	0.0500000000000001	0.205361940582528	1	4.10723881165056
290	0.05	0.1	0.05	0.210057563005736	1	4.20115126011471
300	0.05	0.1	0.05	0.214685083878125	1	4.29370167756251
310	0.05	0.1	0.0500000000000001	0.219245387124932	1	4.38490774249865
320	0.05	0.1	0.05	0.223739405517049	1	4.47478811034097
330	0.05	0.1	0.05	0.228168110947558	1	4.56336221895116
