n	sd.het	d.het	lo	hi	ci	lo.tval	hi.tval	ci.tval	over
120	0.05	0	-0.271357731667117	0.271357731667117	0.542715463334234	-0.253027167247347	0.253027167247347	0.506054334494694	1.07244504461393
130	0.05	0	-0.262124208676488	0.262124208676488	0.524248417352977	-0.24310277685962	0.24310277685962	0.48620555371924	1.07824440371511
140	0.05	0	-0.253928952850285	0.253928952850285	0.507857905700571	-0.234260396383323	0.234260396383323	0.468520792766646	1.08396022874809
150	0.05	0	-0.24662194895051	0.24662194895051	0.49324389790102	-0.226329032467469	0.226329032467469	0.452658064934937	1.08966112858702
160	0.05	0	-0.24004511459502	0.24004511459502	0.48009022919004	-0.219131870372533	0.219131870372533	0.438263740745067	1.09543679879578
170	0.05	0	-0.234088088363152	0.234088088363152	0.468176176726304	-0.212588808804352	0.212588808804352	0.425177617608704	1.10113081530358
180	0.05	0	-0.228690179330848	0.228690179330848	0.457380358661696	-0.20657713915373	0.20657713915373	0.41315427830746	1.1070449531236
190	0.05	0	-0.223698486644338	0.223698486644338	0.447396973288675	-0.201081636459077	0.201081636459077	0.402163272918154	1.11247596042846
200	0.05	0	-0.219131870372533	0.219131870372533	0.438263740745067	-0.19599515782741	0.19599515782741	0.39199031565482	1.1180473681166
210	0.05	0	-0.214917452255048	0.214917452255048	0.429834904510096	-0.191272796122074	0.191272796122074	0.382545592244148	1.12361745429749
220	0.05	0	-0.21101249582115	0.21101249582115	0.4220249916423	-0.186883019859741	0.186883019859741	0.373766039719481	1.1291154005298
230	0.05	0	-0.207366861039681	0.207366861039681	0.414733722079361	-0.182780773318545	0.182780773318545	0.365561546637089	1.13451134533876
240	0.05	0	-0.204024580662499	0.204024580662499	0.408049161324998	-0.178915309808828	0.178915309808828	0.357830619617655	1.14034165595164
250	0.05	0	-0.200830530638372	0.200830530638372	0.401661061276744	-0.175317205501965	0.175317205501965	0.35063441100393	1.14552664733252
260	0.05	0	-0.197869530172676	0.197869530172676	0.395739060345352	-0.171894847143023	0.171894847143023	0.343789694286047	1.15110797945002
270	0.05	0	-0.195086050724112	0.195086050724112	0.390172101448224	-0.168658091049102	0.168658091049102	0.337316182098204	1.15669547491389
280	0.05	0	-0.192464420069857	0.192464420069857	0.384928840139715	-0.165652570838737	0.165652570838737	0.331305141677474	1.16185591986509
290	0.05	0	-0.189980248187613	0.189980248187613	0.379960496375226	-0.162767665366817	0.162767665366817	0.325535330733634	1.16718666302345
300	0.05	0	-0.187666484334361	0.187666484334361	0.375332968668721	-0.160032171721706	0.160032171721706	0.320064343443412	1.17267973255222
310	0.05	0	-0.185439501511109	0.185439501511109	0.370879003022219	-0.157430039557994	0.157430039557994	0.314860079115988	1.17791688315493
320	0.05	0	-0.183338790882761	0.183338790882761	0.366677581765523	-0.154950747611443	0.154950747611443	0.309901495222887	1.18320688159895
330	0.05	0	-0.18134262445777	0.18134262445777	0.36268524891554	-0.152584914529835	0.152584914529835	0.305169829059671	1.18847020373244
340	0.05	0	-0.179442403521368	0.179442403521368	0.358884807042736	-0.150324145144535	0.150324145144535	0.30064829028907	1.19370313630479
350	0.05	0	-0.177625244689772	0.177625244689772	0.355250489379544	-0.14816089952248	0.14816089952248	0.29632179904496	1.19886721302486
